Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
139 : 	H ..x.x	+ xx.xx	17	23	1	13	6	39	7	5	37	24	30	59	.x.xx	x.x.x	.	x	x
140 : 	J xx.x.	4 .x...	18	24	2	14	7	40	7	6	38	25	31	1	x....	...x.	.	x	x
141 : 	K xxxx.	. ..x..	19	25	3	15	8	41	7	7	39	26	32	2	..x.x	xxxxx	x	x	x
142 : 	/ .....	+ xx.xx	20	26	4	16	9	42	8	8	40	27	33	3	x.xxx	.xx..	x	.	x
143 : 	E x....	+ xx.xx	21	27	5	17	10	43	9	9	41	28	34	4	x.xx.	xxx.x	x	x	x
144 : 	X x.xxx	W xx..x	22	28	6	18	11	44	10	10	42	29	35	5	.x...	..xx.	x	.	x
145 : 	- xxxxx	T ....x	23	29	7	19	12	45	11	11	43	30	36	6	.xx.x	x..xx	.	x	x
146 : 	Z x...x	M ..xxx	24	30	8	20	13	46	11	12	44	31	37	7	xxxx.	.x...	x	x	x
147 : 	K xxxx.	Q xxx.x	25	31	9	21	14	47	12	13	45	32	38	8	.....	...xx	x	.	.
148 : 	N ..xx.	P .xx.x	26	1	10	22	15	48	13	13	45	32	38	8	.x...	...xx	.	x	x
149 : 	3 ...x.	M ..xxx	27	2	11	23	16	49	13	14	46	33	39	9	xxxxx	xx.x.	.	x	x
150 : 	H ..x.x	W xx..x	28	3	12	24	17	50	13	15	47	34	40	10	x..xx	.xxxx	x	x	x
151 : 	M ..xxx	O ...xx	29	4	13	25	18	51	14	16	1	35	41	11	...xx	..xxx	x	.	x
152 : 	V .xxxx	O ...xx	30	5	14	26	19	52	15	17	2	36	42	12	xx.x.	x.xx.	.	.	x
153 : 	U xxx..	Q xxx.x	31	6	15	1	20	53	15	18	3	37	43	13	.x..x	.x...	.	.	.
154 : 	C .xxx.	+ xx.xx	32	7	16	2	21	54	15	18	3	37	43	13	xxx.x	.x...	.	.	.
155 : 	. ..x..	+ xx.xx	33	8	17	3	22	55	15	18	3	37	43	13	x.xxx	.x...	x	.	.
156 : 	3 ...x.	. ..x..	34	9	18	4	23	56	16	18	3	37	43	13	.xxx.	.x...	x	x	x
157 : 	D x..x.	A xx...	35	10	19	5	1	57	17	19	4	38	44	14	xx...	x..x.	.	.	.
158 : 	4 .x...	+ xx.xx	36	11	20	6	2	58	17	19	4	38	44	14	....x	x..x.	.	.	.
159 : 	- xxxxx	+ xx.xx	37	12	21	7	3	59	17	19	4	38	44	14	x.xx.	x..x.	.	.	x
160 : 	L .x..x	. ..x..	38	13	22	8	4	60	17	20	5	39	45	15	x.x..	xx..x	.	.	x
161 : 	V .xxxx	W xx..x	39	14	23	9	5	61	17	21	6	40	46	16	xx.x.	.xx..	x	.	x
162 : 	I .xx..	I .xx..	40	15	24	10	6	1	18	22	7	41	47	17	x.xxx	x.xxx	x	x	x
163 : 	X x.xxx	M ..xxx	41	16	25	11	7	2	19	23	8	42	48	18	.xx..	xxx..	x	.	x
164 : 	G .x.xx	R .x.x.	1	17	26	12	8	3	20	24	9	43	49	19	....x	.....	x	x	x
165 : 	Z x...x	M ..xxx	2	18	27	13	9	4	21	25	10	44	50	20	.x.xx	xxx.x	.	x	x
166 : 	E x....	W xx..x	3	19	28	14	10	5	21	26	11	45	51	21	.xx..	..x.x	x	x	x
167 : 	3 ...x.	P .xx.x	4	20	29	15	11	6	22	27	12	46	52	22	x.x..	xx.xx	.	x	x
168 : 	K xxxx.	P .xx.x	5	21	1	16	12	7	22	28	13	47	53	23	x..xx	.....	x	x	x
169 : 	. ..x..	W xx..x	6	22	2	17	13	8	23	29	14	48	1	24	x..x.	.xxxx	x	.	x
170 : 	F x.xx.	+ xx.xx	7	23	3	18	14	9	24	30	15	49	2	25	xxx..	x...x	.	x	x
171 : 	. ..x..	+ xx.xx	8	24	4	19	15	10	24	31	16	50	3	26	..x..	xx.xx	.	x	x
172 : 	/ .....	3 ...x.	9	25	5	20	16	11	24	32	17	51	4	27	..xxx	..x.x	x	x	x
173 : 	N ..xx.	+ xx.xx	10	26	6	21	17	12	25	33	18	1	5	28	....x	xxx..	x	.	x
174 : 	H ..x.x	+ xx.xx	11	27	7	22	18	13	26	34	19	2	6	29	..x.x	xx.xx	.	x	x
175 : 	T ....x	4 .x...	12	28	8	23	19	14	26	35	20	3	7	30	xxxx.	x.xxx	.	x	x
176 : 	. ..x..	- xxxxx	13	29	9	24	20	15	26	36	21	4	8	31	xx.xx	.....	x	x	x
177 : 	+ xx.xx	- xxxxx	14	30	10	25	21	16	27	37	22	5	9	32	.x.xx	.xxxx	x	.	.
178 : 	T ....x	L .x..x	15	31	11	26	22	17	28	37	22	5	9	32	..xxx	.xxxx	.	x	x
179 : 	4 .x...	A xx...	16	1	12	1	23	18	28	38	23	6	10	33	.x...	xx...	.	x	x
180 : 	3 ...x.	U xxx..	17	2	13	2	1	19	28	39	24	7	11	34	.x...	x.xx.	.	x	x
181 : 	Q xxx.x	F x.xx.	18	3	14	3	2	20	28	40	25	8	12	35	x..xx	xx...	x	x	x
182 : 	C .xxx.	R .x.x.	19	4	15	4	3	21	29	41	26	9	13	36	...x.	..xx.	x	.	x
183 : 	K xxxx.	O ...xx	20	5	16	5	4	22	30	42	27	10	14	37	xxx..	....x	x	x	x
184 : 	T ....x	B x..xx	21	6	17	6	5	23	31	43	28	11	15	38	xxx..	.xxx.	x	.	.
185 : 	3 ...x.	O ...xx	22	7	18	7	6	24	32	43	28	11	15	38	.xxxx	.xxx.	.	x	x
186 : 	T ....x	T ....x	23	8	19	8	7	25	32	1	29	12	16	39	.....	.....	x	x	x
187 : 	H ..x.x	E x....	24	9	20	9	8	26	33	2	30	13	17	40	xx.xx	.xxx.	.	.	x
188 : 	U xxx..	R .x.x.	25	10	21	10	9	27	33	3	31	14	18	41	.xxxx	xx..x	x	.	.
189 : 	N ..xx.	+ xx.xx	26	11	22	11	10	28	34	3	31	14	18	41	..x..	xx..x	x	x	x
190 : 	T ....x	+ xx.xx	27	12	23	12	11	29	35	4	32	15	19	42	x....	.x.x.	.	.	x
191 : 	P .xx.x	. ..x..	28	13	24	13	12	30	35	5	33	16	20	43	x.xxx	xxxx.	x	.	x
192 : 	D x..x.	- xxxxx	29	14	25	14	13	31	36	6	34	17	21	44	.xx..	....x	x	x	x
193 : 	U xxx..	- xxxxx	30	15	26	15	14	32	37	7	35	18	22	45	x....	x..xx	.	.	.
194 : 	H ..x.x	U xxx..	31	16	27	16	15	33	37	7	35	18	22	45	.x.x.	x..xx	.	.	x
195 : 	Y x.x.x	N ..xx.	32	17	28	17	16	34	37	8	36	19	23	46	x.xxx	..x..	.	.	.
196 : 	G .x.xx	D x..x.	33	18	29	18	17	35	37	8	36	19	23	46	xxx.x	..x..	x	.	x
197 : 	M ..xxx	+ xx.xx	34	19	1	19	18	36	1	9	37	20	24	47	.x..x	x.x.x	x	x	x
198 : 	4 .x...	+ xx.xx	35	20	2	20	19	37	2	10	38	21	25	48	x..x.	....x	.	.	.
199 : 	/ .....	. ..x..	36	21	3	21	20	38	2	10	38	21	25	48	..x.x	....x	.	.	x
200 : 	F x.xx.	- xxxxx	37	22	4	22	21	39	2	11	39	22	26	49	x.x.x	xxx..	.	.	x
201 : 	R .x.x.	- xxxxx	38	23	5	23	22	40	2	12	40	23	27	50	xxxxx	.x.x.	.	.	x
202 : 	P .xx.x	E x....	39	24	6	24	23	41	2	13	41	24	28	51	x..x.	.xxxx	x	.	.
203 : 	Y x.x.x	I .xx..	40	25	7	25	1	42	3	13	41	24	28	51	x.xx.	.xxxx	x	x	x
204 : 	E x....	N ..xx.	41	26	8	26	2	43	4	14	42	25	29	52	..xxx	x...x	x	x	x
205 : 	X x.xxx	B x..xx	1	27	9	1	3	44	5	15	43	26	30	53	.....	..x..	x	x	x
206 : 	V .xxxx	L .x..x	2	28	10	2	4	45	6	16	44	27	31	54	.x...	.xxx.	.	.	x
207 : 	Y x.x.x	I .xx..	3	29	11	3	5	46	6	17	45	28	32	55	.xxx.	x.xxx	x	.	.
208 : 	3 ...x.	C .xxx.	4	30	12	4	6	47	7	17	45	28	32	55	xx.xx	x.xxx	x	x	x
209 : 	3 ...x.	K xxxx.	5	31	13	5	7	48	8	18	46	29	33	56	x....	.xx..	.	.	.
210 : 	H ..x.x	E x....	6	1	14	6	8	49	8	18	46	29	33	56	xx..x	.xx..	.	.	x
211 : 	W xx..x	+ xx.xx	7	2	15	7	9	50	8	19	47	30	34	57	xx.xx	xx..x	x	.	.
212 : 	N ..xx.	+ xx.xx	8	3	16	8	10	51	9	19	47	30	34	57	..x..	xx..x	x	x	x
213 : 	E x....	. ..x..	9	4	17	9	11	52	10	20	1	31	35	58	..xx.	x..x.	.	.	x
214 : 	B x..xx	- xxxxx	10	5	18	10	12	53	10	21	2	32	36	59	.xxxx	...xx	.	.	x
215 : 	V .xxxx	- xxxxx	11	6	19	11	13	54	10	22	3	33	37	1	.x...	xx...	.	.	.
216 : 	I .xx..	I .xx..	12	7	20	12	14	55	10	22	3	33	37	1	xx...	xx...	x	.	.
217 : 	4 .x...	N ..xx.	13	8	21	13	15	56	11	22	3	33	37	1	x.xx.	xx...	x	x	x
218 : 	T ....x	+ xx.xx	14	9	22	14	16	57	12	23	4	34	38	2	.xx.x	x.xxx	.	.	x
219 : 	U xxx..	+ xx.xx	15	10	23	15	17	58	12	24	5	35	39	3	.x..x	.xxx.	.	.	.
220 : 	P .xx.x	. ..x..	16	11	24	16	18	59	12	24	5	35	39	3	..xxx	.xxx.	.	.	.
221 : 	X x.xxx	- xxxxx	17	12	25	17	19	60	12	24	5	35	39	3	..xx.	.xxx.	.	.	x
222 : 	Z x...x	- xxxxx	18	13	26	18	20	61	12	25	6	36	40	4	x...x	xxxxx	x	.	x
223 : 	W xx..x	D x..x.	19	14	27	19	21	1	13	26	7	37	41	5	.x..x	...x.	x	x	x
224 : 	S x.x..	A xx...	20	15	28	20	22	2	14	27	8	38	42	6	x.xxx	xx.xx	x	.	.
225 : 	B x..xx	S x.x..	21	16	29	21	23	3	15	27	8	38	42	6	xxx..	xx.xx	x	.	x
226 : 	+ xx.xx	+ xx.xx	22	17	1	22	1	4	16	28	9	39	43	7	.....	.....	.	x	x
227 : 	- xxxxx	+ xx.xx	23	18	2	23	2	5	16	29	10	40	44	8	.x.xx	.xxxx	x	x	x
228 : 	C .xxx.	. ..x..	24	19	3	24	3	6	17	30	11	41	45	9	xxxx.	x.x..	.	.	.
229 : 	P .xx.x	- xxxxx	25	20	4	25	4	7	17	30	11	41	45	9	..xx.	x.x..	x	.	.
230 : 	P .xx.x	- xxxxx	26	21	5	26	5	8	18	30	11	41	45	9	..xx.	x.x..	x	x	x
231 : 	G .x.xx	M ..xxx	27	22	6	1	6	9	19	31	12	42	46	10	x...x	xxx.x	.	.	x
232 : 	V .xxxx	E x....	28	23	7	2	7	10	19	32	13	43	47	11	xxx..	...xx	.	.	x
233 : 	Q xxx.x	N ..xx.	29	24	8	3	8	11	19	33	14	44	48	12	..xxx	xxx..	x	.	.
234 : 	+ xx.xx	S x.x..	30	25	9	4	9	12	20	33	14	44	48	12	x..xx	xxx..	x	x	x
235 : 	J xx.x.	C .xxx.	31	26	10	5	10	13	21	34	15	45	49	13	.....	x.x..	.	x	x
