Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
122 : 	Y x.x.x	O ...xx	41	31	14	25	13	18	3	17	27	9	10	1	...x.	x.x..	.	x	x
123 : 	- xxxxx	K xxxx.	1	1	15	26	14	19	3	18	28	10	11	2	.x.x.	.x.xx	.	x	x
124 : 	W xx..x	T ....x	2	2	16	1	15	20	3	19	29	11	12	3	.xx..	x.x..	x	x	x
125 : 	Q xxx.x	O ...xx	3	3	17	2	16	21	4	20	30	12	13	4	..x.x	xx.xx	x	x	x
126 : 	4 .x...	B x..xx	4	4	18	3	17	22	5	21	31	13	14	5	x.xxx	.xx..	x	x	x
127 : 	E x....	E x....	5	5	19	4	18	23	6	22	32	14	15	6	xx.xx	xx.xx	x	.	x
128 : 	R .x.x.	R .x.x.	6	6	20	5	19	24	7	23	33	15	16	7	xx...	xx...	.	x	x
129 : 	T ....x	+ xx.xx	7	7	21	6	20	25	7	24	34	16	17	8	xxx.x	..xxx	x	x	x
130 : 	I .xx..	+ xx.xx	8	8	22	7	21	26	8	25	35	17	18	9	..xxx	x....	.	.	.
131 : 	/ .....	W xx..x	9	9	23	8	22	27	8	25	35	17	18	9	.x..x	x....	x	.	x
132 : 	/ .....	P .xx.x	10	10	24	9	23	28	9	26	36	18	19	10	.xxx.	...xx	x	x	x
133 : 	U xxx..	P .xx.x	11	11	25	10	1	29	10	27	37	19	20	11	..xx.	x.xxx	.	.	.
134 : 	B x..xx	Y x.x.x	12	12	26	11	2	30	10	27	37	19	20	11	x...x	x.xxx	x	.	x
135 : 	B x..xx	M ..xxx	13	13	27	12	3	31	11	28	38	20	21	12	x....	..x..	x	x	x
136 : 	- xxxxx	+ xx.xx	14	14	28	13	4	32	12	29	39	21	22	13	.xxx.	.x.x.	.	.	x
137 : 	O ...xx	+ xx.xx	15	15	29	14	5	33	12	30	40	22	23	14	..x..	xxx..	.	.	.
138 : 	Z x...x	. ..x..	16	16	1	15	6	34	12	30	40	22	23	14	.x..x	xxx..	.	.	x
139 : 	. ..x..	- xxxxx	17	17	2	16	7	35	12	31	41	23	24	15	...x.	xx..x	x	.	.
140 : 	W xx..x	- xxxxx	18	18	3	17	8	36	13	31	41	23	24	15	xxxxx	xx..x	x	x	x
141 : 	J xx.x.	B x..xx	19	19	4	18	9	37	14	32	42	24	25	16	.xx.x	..x..	.	.	.
142 : 	U xxx..	I .xx..	20	20	5	19	10	38	14	32	42	24	25	16	x.x..	..x..	.	.	.
143 : 	3 ...x.	S x.x..	21	21	6	20	11	39	14	32	42	24	25	16	x..x.	..x..	.	.	x
144 : 	V .xxxx	+ xx.xx	22	22	7	21	12	40	14	33	43	25	26	17	..x.x	x...x	.	.	x
145 : 	L .x..x	+ xx.xx	23	23	8	22	13	41	14	34	44	26	27	18	.xx..	xxxx.	x	.	x
146 : 	/ .....	. ..x..	24	24	9	23	14	42	15	35	45	27	28	19	x..x.	x.xx.	x	.	.
147 : 	L .x..x	Q xxx.x	25	25	10	24	15	43	16	35	45	27	28	19	...x.	x.xx.	x	x	x
148 : 	P .xx.x	M ..xxx	26	26	11	25	16	44	17	36	46	28	29	20	..xxx	.xx.x	x	.	x
149 : 	H ..x.x	+ xx.xx	27	27	12	26	17	45	18	37	47	29	30	21	x..xx	.xx.x	.	x	x
150 : 	Z x...x	+ xx.xx	28	28	13	1	18	46	18	38	1	30	31	22	xx..x	x..xx	x	x	x
151 : 	K xxxx.	. ..x..	29	29	14	2	19	47	19	39	2	31	32	23	.x...	x..x.	x	.	.
152 : 	F x.xx.	- xxxxx	30	30	15	3	20	48	20	39	2	31	32	23	xx.xx	x..x.	.	x	x
153 : 	T ....x	- xxxxx	31	31	16	4	21	49	20	40	3	32	33	24	..xxx	xx..x	.	x	x
154 : 	+ xx.xx	M ..xxx	32	1	17	5	22	50	20	41	4	33	34	25	xxx.x	....x	x	x	x
155 : 	G .x.xx	A xx...	33	2	18	6	23	51	21	42	5	34	35	26	xxx..	.xxxx	x	x	x
156 : 	T ....x	I .xx..	34	3	19	7	1	52	22	43	6	35	36	27	...x.	.xxxx	.	x	x
157 : 	C .xxx.	+ xx.xx	35	4	20	8	2	53	22	1	7	36	37	28	x...x	..x..	.	x	x
158 : 	K xxxx.	+ xx.xx	36	5	21	9	3	54	22	2	8	37	38	29	.xxx.	.x.xx	.	x	x
159 : 	L .x..x	. ..x..	37	6	22	10	4	55	22	3	9	38	39	30	xxxx.	x..xx	x	x	x
160 : 	G .x.xx	W xx..x	38	7	23	11	5	56	23	4	10	39	40	31	xx...	.x.x.	x	.	.
161 : 	D x..x.	P .xx.x	39	8	24	12	6	57	24	4	10	39	40	31	x.x.x	.x.x.	.	x	x
162 : 	. ..x..	P .xx.x	40	9	25	13	7	58	24	5	11	40	41	32	xxxx.	x.xxx	.	x	x
163 : 	+ xx.xx	U xxx..	41	10	26	14	8	59	24	6	12	41	42	33	.x..x	.xxx.	.	x	x
164 : 	X x.xxx	3 ...x.	1	11	27	15	9	60	24	7	13	42	43	34	....x	x.x..	.	x	x
165 : 	X x.xxx	+ xx.xx	2	12	28	16	10	61	24	8	14	43	44	35	..xx.	.x.x.	x	x	x
166 : 	L .x..x	+ xx.xx	3	13	29	17	11	1	25	9	15	44	45	36	..xx.	x.x..	x	.	x
167 : 	U xxx..	4 .x...	4	14	1	18	12	2	26	10	16	45	46	37	xx..x	.xx.x	x	x	x
168 : 	W xx..x	+ xx.xx	5	15	2	19	13	3	27	11	17	46	47	38	x....	x..x.	x	.	.
169 : 	X x.xxx	+ xx.xx	6	16	3	20	14	4	28	11	17	46	47	38	xxxx.	x..x.	.	x	x
170 : 	K xxxx.	3 ...x.	7	17	4	21	15	5	28	12	18	47	48	39	x.x..	.x...	x	x	x
171 : 	J xx.x.	+ xx.xx	8	18	5	22	16	6	29	13	19	48	49	40	.xx.x	.xx..	.	.	x
172 : 	T ....x	+ xx.xx	9	19	6	23	17	7	29	14	20	49	50	41	.x.xx	x...x	x	.	.
173 : 	K xxxx.	4 .x...	10	20	7	24	18	8	30	14	20	49	50	41	..xxx	x...x	x	x	x
174 : 	W xx..x	- xxxxx	11	21	8	25	19	9	31	15	21	50	51	42	..xx.	.....	.	.	x
175 : 	3 ...x.	- xxxxx	12	22	9	26	20	10	31	16	22	51	52	43	x..xx	.xxx.	.	.	x
176 : 	F x.xx.	D x..x.	13	23	10	1	21	11	31	17	23	1	53	44	xx..x	xxx.x	x	.	x
177 : 	R .x.x.	I .xx..	14	24	11	2	22	12	32	18	24	2	1	45	..x.x	...xx	x	x	x
178 : 	C .xxx.	E x....	15	25	12	3	23	13	33	19	25	3	2	46	...x.	xxx..	.	.	x
179 : 	R .x.x.	+ xx.xx	16	26	13	4	1	14	33	20	26	4	3	47	...x.	x..xx	.	.	x
180 : 	- xxxxx	+ xx.xx	17	27	14	5	2	15	33	21	27	5	4	48	....x	..x.x	x	.	x
181 : 	. ..x..	. ..x..	18	28	15	6	3	16	34	22	28	6	5	49	xx...	xx...	x	x	x
182 : 	M ..xxx	- xxxxx	19	29	16	7	4	17	35	23	29	7	6	50	.xxx.	x.xx.	.	.	.
